NLOC,CCN,Token,Param,Length,location
8,3,40,0,9,get_last_account_assigned@16-24@C:\User\varshini\Downloads\FinalProject\salt\.github\workflows\scripts\label-and-assign.py
5,1,59,1,5,get_team_members@27-31@C:\User\varshini\Downloads\FinalProject\salt\.github\workflows\scripts\label-and-assign.py
12,5,59,1,15,get_triage_next_account@34-48@C:\User\varshini\Downloads\FinalProject\salt\.github\workflows\scripts\label-and-assign.py
29,1,204,1,29,label_and_assign_issue@51-79@C:\User\varshini\Downloads\FinalProject\salt\.github\workflows\scripts\label-and-assign.py
24,5,202,0,27,main@82-108@C:\User\varshini\Downloads\FinalProject\salt\.github\workflows\scripts\label-and-assign.py
8,4,89,1,18,format_name@20-37@C:\User\varshini\Downloads\FinalProject\salt\doc\_ext\saltautodoc.py
2,1,15,3,2,setup.add_documenter@41-42@C:\User\varshini\Downloads\FinalProject\salt\doc\_ext\saltautodoc.py
3,1,15,1,8,setup@40-47@C:\User\varshini\Downloads\FinalProject\salt\doc\_ext\saltautodoc.py
4,1,63,2,10,parse_file@37-46@C:\User\varshini\Downloads\FinalProject\salt\doc\_ext\saltdomain.py
12,5,104,2,21,parse_lit@48-68@C:\User\varshini\Downloads\FinalProject\salt\doc\_ext\saltdomain.py
37,7,273,1,53,run@70-122@C:\User\varshini\Downloads\FinalProject\salt\doc\_ext\saltdomain.py
17,5,108,2,25,parse_file@130-154@C:\User\varshini\Downloads\FinalProject\salt\doc\_ext\saltdomain.py
8,2,54,1,8,run@165-172@C:\User\varshini\Downloads\FinalProject\salt\doc\_ext\saltdomain.py
19,2,157,1,25,run@180-204@C:\User\varshini\Downloads\FinalProject\salt\doc\_ext\saltdomain.py
13,2,111,1,18,run@212-229@C:\User\varshini\Downloads\FinalProject\salt\doc\_ext\saltdomain.py
9,4,98,8,9,resolve_xref@271-279@C:\User\varshini\Downloads\FinalProject\salt\doc\_ext\saltdomain.py
33,1,150,1,35,setup@286-320@C:\User\varshini\Downloads\FinalProject\salt\doc\_ext\saltdomain.py
5,2,40,3,5,source_read_handler@9-13@C:\User\varshini\Downloads\FinalProject\salt\doc\_ext\saltrepo.py
7,1,28,1,8,setup@16-23@C:\User\varshini\Downloads\FinalProject\salt\doc\_ext\saltrepo.py
3,1,19,1,3,setup@24-26@C:\User\varshini\Downloads\FinalProject\salt\doc\_ext\vaultpolicylexer.py
15,3,61,0,18,(anonymous)@33-50@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
6,2,21,0,26,(anonymous)@31-56@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,16,0,30,(anonymous)@29-58@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,12,0,40,(anonymous)@21-60@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,20,1,3,Alert@89-91@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
5,1,14,0,5,removeElement@115-119@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
